<<<<<<< HEAD
datetime,date,hour,day_of_week,is_weekend,is_lunch_hour,temperature,weather,customer_load
2025-11-23 19:00:00,2025-11-23,19,6,1,0,17.7,sunny,130
2025-11-24 07:00:00,2025-11-24,7,0,0,0,20.8,rainy,259
2025-11-24 08:00:00,2025-11-24,8,0,0,0,21.4,rainy,265
2025-11-24 09:00:00,2025-11-24,9,0,0,0,26.9,rainy,296
2025-11-24 10:00:00,2025-11-24,10,0,0,0,24.8,rainy,222
2025-11-24 11:00:00,2025-11-24,11,0,0,1,23.6,rainy,376
2025-11-24 12:00:00,2025-11-24,12,0,0,1,27.7,rainy,411
2025-11-24 13:00:00,2025-11-24,13,0,0,1,24.8,rainy,377
2025-11-24 14:00:00,2025-11-24,14,0,0,1,28.2,rainy,365
2025-11-24 15:00:00,2025-11-24,15,0,0,0,23.3,rainy,204
2025-11-24 16:00:00,2025-11-24,16,0,0,0,27.0,rainy,207
2025-11-24 17:00:00,2025-11-24,17,0,0,0,23.2,rainy,288
2025-11-24 18:00:00,2025-11-24,18,0,0,0,22.1,rainy,302
2025-11-24 19:00:00,2025-11-24,19,0,0,0,16.5,rainy,315
2025-11-25 07:00:00,2025-11-25,7,1,0,0,22.1,cloudy,245
2025-11-25 08:00:00,2025-11-25,8,1,0,0,28.1,cloudy,302
2025-11-25 09:00:00,2025-11-25,9,1,0,0,26.3,cloudy,236
2025-11-25 10:00:00,2025-11-25,10,1,0,0,27.0,cloudy,177
2025-11-25 11:00:00,2025-11-25,11,1,0,1,25.8,cloudy,395
2025-11-25 12:00:00,2025-11-25,12,1,0,1,27.0,cloudy,369
2025-11-25 13:00:00,2025-11-25,13,1,0,1,27.7,cloudy,368
2025-11-25 14:00:00,2025-11-25,14,1,0,1,27.6,cloudy,347
2025-11-25 15:00:00,2025-11-25,15,1,0,0,24.0,cloudy,137
2025-11-25 16:00:00,2025-11-25,16,1,0,0,25.0,cloudy,175
2025-11-25 17:00:00,2025-11-25,17,1,0,0,23.8,cloudy,293
2025-11-25 18:00:00,2025-11-25,18,1,0,0,21.6,cloudy,273
2025-11-25 19:00:00,2025-11-25,19,1,0,0,18.1,cloudy,252
2025-11-26 07:00:00,2025-11-26,7,2,0,0,22.1,cloudy,268
2025-11-26 08:00:00,2025-11-26,8,2,0,0,24.6,cloudy,249
2025-11-26 09:00:00,2025-11-26,9,2,0,0,27.3,cloudy,219
2025-11-26 10:00:00,2025-11-26,10,2,0,0,27.0,cloudy,186
2025-11-26 11:00:00,2025-11-26,11,2,0,1,30.7,cloudy,360
2025-11-26 12:00:00,2025-11-26,12,2,0,1,26.8,cloudy,365
2025-11-26 13:00:00,2025-11-26,13,2,0,1,27.6,cloudy,387
2025-11-26 14:00:00,2025-11-26,14,2,0,1,24.6,cloudy,354
2025-11-26 15:00:00,2025-11-26,15,2,0,0,23.5,cloudy,139
2025-11-26 16:00:00,2025-11-26,16,2,0,0,25.5,cloudy,176
2025-11-26 17:00:00,2025-11-26,17,2,0,0,22.2,cloudy,275
2025-11-26 18:00:00,2025-11-26,18,2,0,0,24.5,cloudy,298
2025-11-26 19:00:00,2025-11-26,19,2,0,0,21.1,cloudy,247
2025-11-27 07:00:00,2025-11-27,7,3,0,0,22.2,sunny,182
2025-11-27 08:00:00,2025-11-27,8,3,0,0,22.4,sunny,232
2025-11-27 09:00:00,2025-11-27,9,3,0,0,25.2,sunny,240
2025-11-27 10:00:00,2025-11-27,10,3,0,0,26.2,sunny,95
2025-11-27 11:00:00,2025-11-27,11,3,0,1,25.5,sunny,354
2025-11-27 12:00:00,2025-11-27,12,3,0,1,27.6,sunny,319
2025-11-27 13:00:00,2025-11-27,13,3,0,1,28.1,sunny,340
2025-11-27 14:00:00,2025-11-27,14,3,0,1,29.5,sunny,358
2025-11-27 15:00:00,2025-11-27,15,3,0,0,25.7,sunny,103
2025-11-27 16:00:00,2025-11-27,16,3,0,0,24.6,sunny,135
2025-11-27 17:00:00,2025-11-27,17,3,0,0,22.3,sunny,210
2025-11-27 18:00:00,2025-11-27,18,3,0,0,23.6,sunny,229
2025-11-27 19:00:00,2025-11-27,19,3,0,0,21.7,sunny,214
2025-11-28 07:00:00,2025-11-28,7,4,0,0,27.9,sunny,197
2025-11-28 08:00:00,2025-11-28,8,4,0,0,24.8,sunny,244
2025-11-28 09:00:00,2025-11-28,9,4,0,0,24.9,sunny,176
2025-11-28 10:00:00,2025-11-28,10,4,0,0,26.3,sunny,116
2025-11-28 11:00:00,2025-11-28,11,4,0,1,24.9,sunny,327
2025-11-28 12:00:00,2025-11-28,12,4,0,1,30.5,sunny,304
2025-11-28 13:00:00,2025-11-28,13,4,0,1,28.6,sunny,337
2025-11-28 14:00:00,2025-11-28,14,4,0,1,27.8,sunny,333
2025-11-28 15:00:00,2025-11-28,15,4,0,0,27.5,sunny,113
2025-11-28 16:00:00,2025-11-28,16,4,0,0,29.1,sunny,154
2025-11-28 17:00:00,2025-11-28,17,4,0,0,27.3,sunny,250
2025-11-28 18:00:00,2025-11-28,18,4,0,0,20.5,sunny,248
2025-11-28 19:00:00,2025-11-28,19,4,0,0,23.6,sunny,199
2025-11-29 07:00:00,2025-11-29,7,5,1,0,26.7,rainy,186
2025-11-29 08:00:00,2025-11-29,8,5,1,0,27.6,rainy,153
2025-11-29 09:00:00,2025-11-29,9,5,1,0,29.9,rainy,203
2025-11-29 10:00:00,2025-11-29,10,5,1,0,28.2,rainy,99
2025-11-29 11:00:00,2025-11-29,11,5,1,1,26.1,rainy,310
2025-11-29 12:00:00,2025-11-29,12,5,1,1,30.4,rainy,298
2025-11-29 13:00:00,2025-11-29,13,5,1,1,31.4,rainy,293
2025-11-29 14:00:00,2025-11-29,14,5,1,1,29.8,rainy,279
2025-11-29 15:00:00,2025-11-29,15,5,1,0,27.8,rainy,96
2025-11-29 16:00:00,2025-11-29,16,5,1,0,27.3,rainy,92
2025-11-29 17:00:00,2025-11-29,17,5,1,0,25.3,rainy,216
2025-11-29 18:00:00,2025-11-29,18,5,1,0,23.4,rainy,167
2025-11-29 19:00:00,2025-11-29,19,5,1,0,26.5,rainy,227
=======
datetime,date,hour,day_of_week,is_weekend,is_lunch_hour,temperature,weather,customer_load
2025-09-01 07:00:00,2025-09-01,7,0,0,0,24.1,sunny,216
2025-09-01 08:00:00,2025-09-01,8,0,0,0,28.1,sunny,230
2025-09-01 09:00:00,2025-09-01,9,0,0,0,27.4,sunny,199
2025-09-01 10:00:00,2025-09-01,10,0,0,0,28.2,sunny,111
2025-09-01 11:00:00,2025-09-01,11,0,0,1,24.6,sunny,349
2025-09-01 12:00:00,2025-09-01,12,0,0,1,31.6,sunny,299
2025-09-01 13:00:00,2025-09-01,13,0,0,1,29.0,sunny,315
2025-09-01 14:00:00,2025-09-01,14,0,0,1,27.9,sunny,287
2025-09-01 15:00:00,2025-09-01,15,0,0,0,27.3,sunny,141
2025-09-01 16:00:00,2025-09-01,16,0,0,0,32.6,sunny,137
2025-09-01 17:00:00,2025-09-01,17,0,0,0,26.5,sunny,219
2025-09-01 18:00:00,2025-09-01,18,0,0,0,23.8,sunny,248
2025-09-01 19:00:00,2025-09-01,19,0,0,0,24.3,sunny,217
2025-09-02 07:00:00,2025-09-02,7,1,0,0,27.0,sunny,188
2025-09-02 08:00:00,2025-09-02,8,1,0,0,29.8,sunny,185
2025-09-02 09:00:00,2025-09-02,9,1,0,0,29.7,sunny,170
2025-09-02 10:00:00,2025-09-02,10,1,0,0,27.4,sunny,133
2025-09-02 11:00:00,2025-09-02,11,1,0,1,32.0,sunny,333
2025-09-02 12:00:00,2025-09-02,12,1,0,1,30.5,sunny,323
2025-09-02 13:00:00,2025-09-02,13,1,0,1,27.6,sunny,315
2025-09-02 14:00:00,2025-09-02,14,1,0,1,29.1,sunny,351
2025-09-02 15:00:00,2025-09-02,15,1,0,0,29.9,sunny,94
2025-09-02 16:00:00,2025-09-02,16,1,0,0,28.8,sunny,122
2025-09-02 17:00:00,2025-09-02,17,1,0,0,25.6,sunny,242
2025-09-02 18:00:00,2025-09-02,18,1,0,0,27.8,sunny,248
2025-09-02 19:00:00,2025-09-02,19,1,0,0,22.7,sunny,223
2025-09-03 07:00:00,2025-09-03,7,2,0,0,24.7,rainy,301
2025-09-03 08:00:00,2025-09-03,8,2,0,0,28.5,rainy,271
2025-09-03 09:00:00,2025-09-03,9,2,0,0,32.3,rainy,262
2025-09-03 10:00:00,2025-09-03,10,2,0,0,32.4,rainy,205
2025-09-03 11:00:00,2025-09-03,11,2,0,1,29.1,rainy,398
2025-09-03 12:00:00,2025-09-03,12,2,0,1,33.3,rainy,415
2025-09-03 13:00:00,2025-09-03,13,2,0,1,34.2,rainy,406
2025-09-03 14:00:00,2025-09-03,14,2,0,1,37.5,rainy,421
2025-09-03 15:00:00,2025-09-03,15,2,0,0,29.1,rainy,198
2025-09-03 16:00:00,2025-09-03,16,2,0,0,26.1,rainy,220
2025-09-03 17:00:00,2025-09-03,17,2,0,0,29.5,rainy,300
2025-09-03 18:00:00,2025-09-03,18,2,0,0,25.3,rainy,270
2025-09-03 19:00:00,2025-09-03,19,2,0,0,23.5,rainy,314
2025-09-04 07:00:00,2025-09-04,7,3,0,0,26.8,sunny,199
2025-09-04 08:00:00,2025-09-04,8,3,0,0,31.4,sunny,216
2025-09-04 09:00:00,2025-09-04,9,3,0,0,29.6,sunny,220
2025-09-04 10:00:00,2025-09-04,10,3,0,0,31.6,sunny,149
2025-09-04 11:00:00,2025-09-04,11,3,0,1,30.5,sunny,323
2025-09-04 12:00:00,2025-09-04,12,3,0,1,31.3,sunny,300
2025-09-04 13:00:00,2025-09-04,13,3,0,1,32.5,sunny,335
2025-09-04 14:00:00,2025-09-04,14,3,0,1,31.4,sunny,325
2025-09-04 15:00:00,2025-09-04,15,3,0,0,27.8,sunny,121
2025-09-04 16:00:00,2025-09-04,16,3,0,0,28.9,sunny,113
2025-09-04 17:00:00,2025-09-04,17,3,0,0,28.1,sunny,238
2025-09-04 18:00:00,2025-09-04,18,3,0,0,30.9,sunny,233
2025-09-04 19:00:00,2025-09-04,19,3,0,0,26.3,sunny,228
2025-09-05 07:00:00,2025-09-05,7,4,0,0,29.0,rainy,246
2025-09-05 08:00:00,2025-09-05,8,4,0,0,28.1,rainy,260
2025-09-05 09:00:00,2025-09-05,9,4,0,0,31.5,rainy,271
2025-09-05 10:00:00,2025-09-05,10,4,0,0,30.8,rainy,200
2025-09-05 11:00:00,2025-09-05,11,4,0,1,33.5,rainy,394
2025-09-05 12:00:00,2025-09-05,12,4,0,1,31.6,rainy,391
2025-09-05 13:00:00,2025-09-05,13,4,0,1,33.3,rainy,399
2025-09-05 14:00:00,2025-09-05,14,4,0,1,33.6,rainy,377
2025-09-05 15:00:00,2025-09-05,15,4,0,0,29.7,rainy,215
2025-09-05 16:00:00,2025-09-05,16,4,0,0,28.7,rainy,227
2025-09-05 17:00:00,2025-09-05,17,4,0,0,31.9,rainy,327
2025-09-05 18:00:00,2025-09-05,18,4,0,0,26.0,rainy,301
2025-09-05 19:00:00,2025-09-05,19,4,0,0,25.5,rainy,318
2025-09-06 07:00:00,2025-09-06,7,5,1,0,29.9,sunny,99
2025-09-06 08:00:00,2025-09-06,8,5,1,0,27.8,sunny,111
2025-09-06 09:00:00,2025-09-06,9,5,1,0,29.8,sunny,119
2025-09-06 10:00:00,2025-09-06,10,5,1,0,30.9,sunny,60
2025-09-06 11:00:00,2025-09-06,11,5,1,1,31.7,sunny,223
2025-09-06 12:00:00,2025-09-06,12,5,1,1,35.0,sunny,245
2025-09-06 13:00:00,2025-09-06,13,5,1,1,33.7,sunny,256
2025-09-06 14:00:00,2025-09-06,14,5,1,1,29.5,sunny,233
2025-09-06 15:00:00,2025-09-06,15,5,1,0,32.5,sunny,45
2025-09-06 16:00:00,2025-09-06,16,5,1,0,28.4,sunny,10
2025-09-06 17:00:00,2025-09-06,17,5,1,0,30.8,sunny,135
2025-09-06 18:00:00,2025-09-06,18,5,1,0,28.9,sunny,136
2025-09-06 19:00:00,2025-09-06,19,5,1,0,25.8,sunny,134
2025-09-07 07:00:00,2025-09-07,7,6,1,0,30.8,sunny,126
2025-09-07 08:00:00,2025-09-07,8,6,1,0,31.9,sunny,85
2025-09-07 09:00:00,2025-09-07,9,6,1,0,34.7,sunny,136
2025-09-07 10:00:00,2025-09-07,10,6,1,0,34.9,sunny,10
2025-09-07 11:00:00,2025-09-07,11,6,1,1,32.4,sunny,207
2025-09-07 12:00:00,2025-09-07,12,6,1,1,35.6,sunny,295
2025-09-07 13:00:00,2025-09-07,13,6,1,1,34.7,sunny,248
2025-09-07 14:00:00,2025-09-07,14,6,1,1,31.7,sunny,232
2025-09-07 15:00:00,2025-09-07,15,6,1,0,29.9,sunny,14
2025-09-07 16:00:00,2025-09-07,16,6,1,0,33.3,sunny,25
2025-09-07 17:00:00,2025-09-07,17,6,1,0,32.8,sunny,140
2025-09-07 18:00:00,2025-09-07,18,6,1,0,34.5,sunny,131
2025-09-07 19:00:00,2025-09-07,19,6,1,0,25.0,sunny,129
2025-09-08 07:00:00,2025-09-08,7,0,0,0,28.8,cloudy,249
2025-09-08 08:00:00,2025-09-08,8,0,0,0,31.7,cloudy,254
2025-09-08 09:00:00,2025-09-08,9,0,0,0,34.2,cloudy,238
2025-09-08 10:00:00,2025-09-08,10,0,0,0,32.3,cloudy,129
2025-09-08 11:00:00,2025-09-08,11,0,0,1,33.6,cloudy,377
2025-09-08 12:00:00,2025-09-08,12,0,0,1,35.1,cloudy,375
2025-09-08 13:00:00,2025-09-08,13,0,0,1,34.9,cloudy,367
2025-09-08 14:00:00,2025-09-08,14,0,0,1,32.3,cloudy,363
2025-09-08 15:00:00,2025-09-08,15,0,0,0,33.3,cloudy,137
2025-09-08 16:00:00,2025-09-08,16,0,0,0,32.9,cloudy,171
2025-09-08 17:00:00,2025-09-08,17,0,0,0,33.2,cloudy,281
2025-09-08 18:00:00,2025-09-08,18,0,0,0,26.9,cloudy,241
2025-09-08 19:00:00,2025-09-08,19,0,0,0,29.4,cloudy,270
2025-09-09 07:00:00,2025-09-09,7,1,0,0,31.6,rainy,297
2025-09-09 08:00:00,2025-09-09,8,1,0,0,35.7,rainy,320
2025-09-09 09:00:00,2025-09-09,9,1,0,0,36.5,rainy,339
2025-09-09 10:00:00,2025-09-09,10,1,0,0,35.1,rainy,243
2025-09-09 11:00:00,2025-09-09,11,1,0,1,32.8,rainy,369
2025-09-09 12:00:00,2025-09-09,12,1,0,1,35.6,rainy,422
2025-09-09 13:00:00,2025-09-09,13,1,0,1,35.0,rainy,429
2025-09-09 14:00:00,2025-09-09,14,1,0,1,31.1,rainy,407
2025-09-09 15:00:00,2025-09-09,15,1,0,0,33.0,rainy,201
2025-09-09 16:00:00,2025-09-09,16,1,0,0,31.0,rainy,193
2025-09-09 17:00:00,2025-09-09,17,1,0,0,34.7,rainy,302
2025-09-09 18:00:00,2025-09-09,18,1,0,0,31.4,rainy,274
2025-09-09 19:00:00,2025-09-09,19,1,0,0,33.8,rainy,336
2025-09-10 07:00:00,2025-09-10,7,2,0,0,28.1,cloudy,243
2025-09-10 08:00:00,2025-09-10,8,2,0,0,32.1,cloudy,257
2025-09-10 09:00:00,2025-09-10,9,2,0,0,32.8,cloudy,237
2025-09-10 10:00:00,2025-09-10,10,2,0,0,36.2,cloudy,217
2025-09-10 11:00:00,2025-09-10,11,2,0,1,33.3,cloudy,353
2025-09-10 12:00:00,2025-09-10,12,2,0,1,34.9,cloudy,346
2025-09-10 13:00:00,2025-09-10,13,2,0,1,39.2,cloudy,408
2025-09-10 14:00:00,2025-09-10,14,2,0,1,32.7,cloudy,378
2025-09-10 15:00:00,2025-09-10,15,2,0,0,38.7,cloudy,220
2025-09-10 16:00:00,2025-09-10,16,2,0,0,30.3,cloudy,150
2025-09-10 17:00:00,2025-09-10,17,2,0,0,34.7,cloudy,245
2025-09-10 18:00:00,2025-09-10,18,2,0,0,31.8,cloudy,275
2025-09-10 19:00:00,2025-09-10,19,2,0,0,27.7,cloudy,258
2025-09-11 07:00:00,2025-09-11,7,3,0,0,30.1,sunny,207
2025-09-11 08:00:00,2025-09-11,8,3,0,0,29.9,sunny,183
2025-09-11 09:00:00,2025-09-11,9,3,0,0,38.0,sunny,276
2025-09-11 10:00:00,2025-09-11,10,3,0,0,35.5,sunny,160
2025-09-11 11:00:00,2025-09-11,11,3,0,1,36.4,sunny,416
2025-09-11 12:00:00,2025-09-11,12,3,0,1,37.2,sunny,388
2025-09-11 13:00:00,2025-09-11,13,3,0,1,35.9,sunny,371
2025-09-11 14:00:00,2025-09-11,14,3,0,1,37.1,sunny,372
2025-09-11 15:00:00,2025-09-11,15,3,0,0,31.2,sunny,155
2025-09-11 16:00:00,2025-09-11,16,3,0,0,32.7,sunny,172
2025-09-11 17:00:00,2025-09-11,17,3,0,0,34.1,sunny,231
2025-09-11 18:00:00,2025-09-11,18,3,0,0,32.3,sunny,227
2025-09-11 19:00:00,2025-09-11,19,3,0,0,29.2,sunny,234
2025-09-12 07:00:00,2025-09-12,7,4,0,0,32.1,sunny,226
2025-09-12 08:00:00,2025-09-12,8,4,0,0,35.2,sunny,236
2025-09-12 09:00:00,2025-09-12,9,4,0,0,37.3,sunny,256
2025-09-12 10:00:00,2025-09-12,10,4,0,0,37.9,sunny,182
2025-09-12 11:00:00,2025-09-12,11,4,0,1,35.1,sunny,358
2025-09-12 12:00:00,2025-09-12,12,4,0,1,38.4,sunny,382
2025-09-12 13:00:00,2025-09-12,13,4,0,1,36.7,sunny,372
2025-09-12 14:00:00,2025-09-12,14,4,0,1,38.8,sunny,358
2025-09-12 15:00:00,2025-09-12,15,4,0,0,36.6,sunny,165
2025-09-12 16:00:00,2025-09-12,16,4,0,0,34.0,sunny,151
2025-09-12 17:00:00,2025-09-12,17,4,0,0,34.9,sunny,246
2025-09-12 18:00:00,2025-09-12,18,4,0,0,34.6,sunny,230
2025-09-12 19:00:00,2025-09-12,19,4,0,0,32.0,sunny,223
2025-09-13 07:00:00,2025-09-13,7,5,1,0,33.2,sunny,97
2025-09-13 08:00:00,2025-09-13,8,5,1,0,38.8,sunny,171
2025-09-13 09:00:00,2025-09-13,9,5,1,0,32.4,sunny,101
2025-09-13 10:00:00,2025-09-13,10,5,1,0,39.2,sunny,46
2025-09-13 11:00:00,2025-09-13,11,5,1,1,38.8,sunny,283
2025-09-13 12:00:00,2025-09-13,12,5,1,1,36.0,sunny,269
2025-09-13 13:00:00,2025-09-13,13,5,1,1,33.1,sunny,265
2025-09-13 14:00:00,2025-09-13,14,5,1,1,36.1,sunny,286
2025-09-13 15:00:00,2025-09-13,15,5,1,0,37.2,sunny,97
2025-09-13 16:00:00,2025-09-13,16,5,1,0,34.1,sunny,34
2025-09-13 17:00:00,2025-09-13,17,5,1,0,34.8,sunny,147
2025-09-13 18:00:00,2025-09-13,18,5,1,0,34.7,sunny,120
2025-09-13 19:00:00,2025-09-13,19,5,1,0,29.8,sunny,157
2025-09-14 07:00:00,2025-09-14,7,6,1,0,34.8,sunny,139
2025-09-14 08:00:00,2025-09-14,8,6,1,0,37.1,sunny,146
2025-09-14 09:00:00,2025-09-14,9,6,1,0,36.4,sunny,129
2025-09-14 10:00:00,2025-09-14,10,6,1,0,37.2,sunny,64
2025-09-14 11:00:00,2025-09-14,11,6,1,1,38.4,sunny,253
2025-09-14 12:00:00,2025-09-14,12,6,1,1,38.9,sunny,300
2025-09-14 13:00:00,2025-09-14,13,6,1,1,37.5,sunny,278
2025-09-14 14:00:00,2025-09-14,14,6,1,1,38.6,sunny,261
2025-09-14 15:00:00,2025-09-14,15,6,1,0,36.9,sunny,70
2025-09-14 16:00:00,2025-09-14,16,6,1,0,35.6,sunny,54
2025-09-14 17:00:00,2025-09-14,17,6,1,0,34.2,sunny,139
2025-09-14 18:00:00,2025-09-14,18,6,1,0,35.8,sunny,189
2025-09-14 19:00:00,2025-09-14,19,6,1,0,35.9,sunny,154
2025-09-15 07:00:00,2025-09-15,7,0,0,0,34.4,cloudy,259
2025-09-15 08:00:00,2025-09-15,8,0,0,0,32.9,cloudy,255
2025-09-15 09:00:00,2025-09-15,9,0,0,0,36.5,cloudy,252
2025-09-15 10:00:00,2025-09-15,10,0,0,0,39.7,cloudy,163
2025-09-15 11:00:00,2025-09-15,11,0,0,1,34.3,cloudy,367
2025-09-15 12:00:00,2025-09-15,12,0,0,1,39.4,cloudy,419
2025-09-15 13:00:00,2025-09-15,13,0,0,1,39.6,cloudy,429
2025-09-15 14:00:00,2025-09-15,14,0,0,1,39.0,cloudy,397
2025-09-15 15:00:00,2025-09-15,15,0,0,0,36.7,cloudy,194
2025-09-15 16:00:00,2025-09-15,16,0,0,0,36.4,cloudy,178
2025-09-15 17:00:00,2025-09-15,17,0,0,0,35.3,cloudy,298
2025-09-15 18:00:00,2025-09-15,18,0,0,0,33.8,cloudy,265
2025-09-15 19:00:00,2025-09-15,19,0,0,0,27.1,cloudy,241
2025-09-16 07:00:00,2025-09-16,7,1,0,0,35.0,sunny,210
2025-09-16 08:00:00,2025-09-16,8,1,0,0,35.3,sunny,262
2025-09-16 09:00:00,2025-09-16,9,1,0,0,35.1,sunny,247
2025-09-16 10:00:00,2025-09-16,10,1,0,0,38.2,sunny,180
2025-09-16 11:00:00,2025-09-16,11,1,0,1,39.9,sunny,347
2025-09-16 12:00:00,2025-09-16,12,1,0,1,35.6,sunny,395
2025-09-16 13:00:00,2025-09-16,13,1,0,1,39.2,sunny,355
2025-09-16 14:00:00,2025-09-16,14,1,0,1,41.1,sunny,372
2025-09-16 15:00:00,2025-09-16,15,1,0,0,39.6,sunny,171
2025-09-16 16:00:00,2025-09-16,16,1,0,0,40.3,sunny,205
2025-09-16 17:00:00,2025-09-16,17,1,0,0,34.5,sunny,249
2025-09-16 18:00:00,2025-09-16,18,1,0,0,35.0,sunny,257
2025-09-16 19:00:00,2025-09-16,19,1,0,0,30.4,sunny,243
2025-09-17 07:00:00,2025-09-17,7,2,0,0,31.8,sunny,238
2025-09-17 08:00:00,2025-09-17,8,2,0,0,38.3,sunny,247
2025-09-17 09:00:00,2025-09-17,9,2,0,0,37.9,sunny,206
2025-09-17 10:00:00,2025-09-17,10,2,0,0,37.3,sunny,196
2025-09-17 11:00:00,2025-09-17,11,2,0,1,40.8,sunny,376
2025-09-17 12:00:00,2025-09-17,12,2,0,1,39.0,sunny,385
2025-09-17 13:00:00,2025-09-17,13,2,0,1,38.3,sunny,336
2025-09-17 14:00:00,2025-09-17,14,2,0,1,38.3,sunny,378
2025-09-17 15:00:00,2025-09-17,15,2,0,0,39.8,sunny,141
2025-09-17 16:00:00,2025-09-17,16,2,0,0,36.2,sunny,168
2025-09-17 17:00:00,2025-09-17,17,2,0,0,33.1,sunny,239
2025-09-17 18:00:00,2025-09-17,18,2,0,0,35.5,sunny,264
2025-09-17 19:00:00,2025-09-17,19,2,0,0,36.8,sunny,263
2025-09-18 07:00:00,2025-09-18,7,3,0,0,34.5,sunny,194
2025-09-18 08:00:00,2025-09-18,8,3,0,0,36.6,sunny,229
2025-09-18 09:00:00,2025-09-18,9,3,0,0,36.7,sunny,226
2025-09-18 10:00:00,2025-09-18,10,3,0,0,42.5,sunny,170
2025-09-18 11:00:00,2025-09-18,11,3,0,1,37.7,sunny,374
2025-09-18 12:00:00,2025-09-18,12,3,0,1,39.0,sunny,365
2025-09-18 13:00:00,2025-09-18,13,3,0,1,40.3,sunny,385
2025-09-18 14:00:00,2025-09-18,14,3,0,1,37.5,sunny,358
2025-09-18 15:00:00,2025-09-18,15,3,0,0,37.3,sunny,123
2025-09-18 16:00:00,2025-09-18,16,3,0,0,33.7,sunny,157
2025-09-18 17:00:00,2025-09-18,17,3,0,0,38.9,sunny,265
2025-09-18 18:00:00,2025-09-18,18,3,0,0,35.4,sunny,276
2025-09-18 19:00:00,2025-09-18,19,3,0,0,39.1,sunny,292
2025-09-19 07:00:00,2025-09-19,7,4,0,0,38.9,sunny,200
2025-09-19 08:00:00,2025-09-19,8,4,0,0,35.4,sunny,231
2025-09-19 09:00:00,2025-09-19,9,4,0,0,37.7,sunny,249
2025-09-19 10:00:00,2025-09-19,10,4,0,0,36.7,sunny,156
2025-09-19 11:00:00,2025-09-19,11,4,0,1,37.8,sunny,362
2025-09-19 12:00:00,2025-09-19,12,4,0,1,39.9,sunny,388
2025-09-19 13:00:00,2025-09-19,13,4,0,1,41.5,sunny,383
2025-09-19 14:00:00,2025-09-19,14,4,0,1,37.1,sunny,369
2025-09-19 15:00:00,2025-09-19,15,4,0,0,42.8,sunny,190
2025-09-19 16:00:00,2025-09-19,16,4,0,0,36.1,sunny,201
2025-09-19 17:00:00,2025-09-19,17,4,0,0,35.0,sunny,256
2025-09-19 18:00:00,2025-09-19,18,4,0,0,37.3,sunny,243
2025-09-19 19:00:00,2025-09-19,19,4,0,0,29.4,sunny,248
2025-09-20 07:00:00,2025-09-20,7,5,1,0,33.2,rainy,191
2025-09-20 08:00:00,2025-09-20,8,5,1,0,35.9,rainy,210
2025-09-20 09:00:00,2025-09-20,9,5,1,0,37.1,rainy,202
2025-09-20 10:00:00,2025-09-20,10,5,1,0,39.1,rainy,123
2025-09-20 11:00:00,2025-09-20,11,5,1,1,40.1,rainy,338
2025-09-20 12:00:00,2025-09-20,12,5,1,1,39.2,rainy,321
2025-09-20 13:00:00,2025-09-20,13,5,1,1,38.4,rainy,355
2025-09-20 14:00:00,2025-09-20,14,5,1,1,40.0,rainy,320
2025-09-20 15:00:00,2025-09-20,15,5,1,0,38.4,rainy,155
2025-09-20 16:00:00,2025-09-20,16,5,1,0,33.9,rainy,110
2025-09-20 17:00:00,2025-09-20,17,5,1,0,34.7,rainy,211
2025-09-20 18:00:00,2025-09-20,18,5,1,0,33.2,rainy,163
2025-09-20 19:00:00,2025-09-20,19,5,1,0,30.2,rainy,200
2025-09-21 07:00:00,2025-09-21,7,6,1,0,33.1,sunny,125
2025-09-21 08:00:00,2025-09-21,8,6,1,0,35.1,sunny,155
2025-09-21 09:00:00,2025-09-21,9,6,1,0,44.0,sunny,117
2025-09-21 10:00:00,2025-09-21,10,6,1,0,38.9,sunny,61
2025-09-21 11:00:00,2025-09-21,11,6,1,1,38.5,sunny,285
2025-09-21 12:00:00,2025-09-21,12,6,1,1,42.1,sunny,285
2025-09-21 13:00:00,2025-09-21,13,6,1,1,38.2,sunny,318
2025-09-21 14:00:00,2025-09-21,14,6,1,1,35.6,sunny,249
2025-09-21 15:00:00,2025-09-21,15,6,1,0,38.7,sunny,71
2025-09-21 16:00:00,2025-09-21,16,6,1,0,38.3,sunny,101
2025-09-21 17:00:00,2025-09-21,17,6,1,0,35.9,sunny,172
2025-09-21 18:00:00,2025-09-21,18,6,1,0,33.7,sunny,141
2025-09-21 19:00:00,2025-09-21,19,6,1,0,32.9,sunny,123
2025-09-22 07:00:00,2025-09-22,7,0,0,0,36.8,rainy,361
2025-09-22 08:00:00,2025-09-22,8,0,0,0,39.2,rainy,313
2025-09-22 09:00:00,2025-09-22,9,0,0,0,40.9,rainy,311
2025-09-22 10:00:00,2025-09-22,10,0,0,0,35.2,rainy,219
2025-09-22 11:00:00,2025-09-22,11,0,0,1,36.0,rainy,432
2025-09-22 12:00:00,2025-09-22,12,0,0,1,40.0,rainy,473
2025-09-22 13:00:00,2025-09-22,13,0,0,1,40.4,rainy,435
2025-09-22 14:00:00,2025-09-22,14,0,0,1,40.9,rainy,395
2025-09-22 15:00:00,2025-09-22,15,0,0,0,39.0,rainy,255
2025-09-22 16:00:00,2025-09-22,16,0,0,0,34.5,rainy,222
2025-09-22 17:00:00,2025-09-22,17,0,0,0,36.9,rainy,331
2025-09-22 18:00:00,2025-09-22,18,0,0,0,36.2,rainy,385
